EUW1_6704001252,EUW1_6700893384,EUW1_6700854226,EUW1_6700823140,EUW1_6700804929,EUW1_6700774299,EUW1_6699504211,EUW1_6699497188,EUW1_6699482809,EUW1_6697045534,EUW1_6697015746,EUW1_6696983067,EUW1_6696964189,EUW1_6186172146,EUW1_6186027485,EUW1_6057304745,EUW1_6057293870,EUW1_6054202531,EUW1_6054041556,EUW1_6054079642,EUW1_6054128402,EUW1_6054107463,EUW1_6052954133,EUW1_6052521285,EUW1_6052527741,EUW1_6052485571,EUW1_6052408849,EUW1_6050849115,EUW1_6050837894,EUW1_6050846703,EUW1_6050854175,EUW1_6049628497,EUW1_6049637760,EUW1_6049578455,EUW1_6048046541,EUW1_6048035579,EUW1_6048005964,EUW1_6048053177,EUW1_6047999624,EUW1_6047911657,EUW1_6046696445,EUW1_6046647060,EUW1_6046607818,EUW1_6046655047,EUW1_6046615093,EUW1_6044898950,EUW1_6044868761,EUW1_6044906223,EUW1_6044769190,EUW1_6044795319
EUW1_6698223207,EUW1_6689550972,EUW1_6661658773,EUW1_6646565785,EUW1_6646480065,EUW1_6642926862,EUW1_6642090241,EUW1_6641539407,EUW1_6641487763,EUW1_6641242744,EUW1_6641194933,EUW1_6631423873,EUW1_6618498359,EUW1_6616508217,EUW1_6616442183,EUW1_6612756857,EUW1_6612697250,EUW1_6608543087,EUW1_6607188437,EUW1_6607157805,EUW1_6605597030,EUW1_6602783513,EUW1_6581069364,EUW1_6580983499,EUW1_6580927130,EUW1_6554129304,EUW1_6554041117,EUW1_6554010541,EUW1_6553887128,EUW1_6553852134,EUW1_6551467400,EUW1_6549994593,EUW1_6549482872,EUW1_6549428413,EUW1_6549382493,EUW1_6548430074,EUW1_6540769997,EUW1_6530163472,EUW1_6530079168,EUW1_6529618078,EUW1_6529548051,EUW1_6529510692,EUW1_6529080404,EUW1_6528368369,EUW1_6528265441,EUW1_6527685034,EUW1_6527625205,EUW1_6527494241,EUW1_6527438734,EUW1_6448423009
EUW1_6704098669,EUW1_6702721209,EUW1_6702378636,EUW1_6702258131,EUW1_6702222666,EUW1_6702051559,EUW1_6700264391,EUW1_6700113244,EUW1_6698844965,EUW1_6697680701,EUW1_6697479998,EUW1_6690176593,EUW1_6690134235,EUW1_6688920183,EUW1_6687646680,EUW1_6687252349,EUW1_6685897999,EUW1_6685625440,EUW1_6684339721,EUW1_6677432689,EUW1_6676221865,EUW1_6676068012,EUW1_6675167470,EUW1_6675105906,EUW1_6674825914,EUW1_6674732041,EUW1_6673600399,EUW1_6673105489,EUW1_6673033951,EUW1_6672935963,EUW1_6672143534,EUW1_6671971288,EUW1_6669419715,EUW1_6668270574,EUW1_6668136101,EUW1_6666874314,EUW1_6665772797,EUW1_6665729103,EUW1_6665599538,EUW1_6664404825,EUW1_6663496116,EUW1_6663079750,EUW1_6662893172,EUW1_6662317352,EUW1_6658438952,EUW1_6656981300,EUW1_6656909008,EUW1_6655484374,EUW1_6651212920,EUW1_6649277438
EUW1_6638233840,EUW1_6637101584,EUW1_6637056351,EUW1_6637001757,EUW1_6636971613,EUW1_5489936991,EUW1_5489777396,EUW1_5489589951,EUW1_5489348986,EUW1_5489354200,EUW1_5489132144,EUW1_5489020986,EUW1_5488840357,EUW1_5488857501,EUW1_5488358484,EUW1_5488244599,EUW1_5488150424,EUW1_5487984143,EUW1_5487851654
EUW1_6672004343,EUW1_6671989546,EUW1_6671949861,EUW1_6670719021,EUW1_6667929725,EUW1_6665586416,EUW1_6665530823,EUW1_6104512877,EUW1_6104470649,EUW1_6101657957,EUW1_6101545232,EUW1_6096349604,EUW1_6091076141,EUW1_6089954739,EUW1_6089751177,EUW1_6081018068,EUW1_6081052940,EUW1_6079994015,EUW1_6079804412,EUW1_6079745941,EUW1_6079470257,EUW1_6077937646,EUW1_6077340739,EUW1_6077314560,EUW1_6076769283,EUW1_6076670977,EUW1_6076560745,EUW1_6075670494,EUW1_6075674093,EUW1_6075473072,EUW1_6074207289,EUW1_6074233710,EUW1_6074111415,EUW1_6073207165,EUW1_6071303893,EUW1_6071179465,EUW1_6070216346,EUW1_6070143073,EUW1_6068999558,EUW1_6064216262,EUW1_6062640173,EUW1_6061211978,EUW1_6061085518,EUW1_6058142114,EUW1_6053336161,EUW1_6051842561,EUW1_6051627076,EUW1_6050084728,EUW1_6049969842,EUW1_6048897926
EUW1_6594828304,EUW1_6594817890,EUW1_6594804764,EUW1_6594776731,EUW1_6576019857,EUW1_6566753218,EUW1_6566738732,EUW1_6564215043,EUW1_6563151544,EUW1_6562955956,EUW1_6557015800,EUW1_6554277598,EUW1_6548002919,EUW1_6273784127,EUW1_6272988830,EUW1_6272932719,EUW1_6272607087,EUW1_6272591149,EUW1_6272562713,EUW1_6272513694,EUW1_6272475859,EUW1_6269990018,EUW1_6269928397,EUW1_6268991049,EUW1_6268903858,EUW1_6267575050,EUW1_6267487804,EUW1_6267297803,EUW1_6267228241,EUW1_6260250899,EUW1_6260180283,EUW1_6255258811,EUW1_6244960444,EUW1_6244917711,EUW1_6244862293,EUW1_5940720732,EUW1_5940658488,EUW1_5794015198,EUW1_5793275963,EUW1_5793229046,EUW1_5784019887,EUW1_5782971101,EUW1_5782753894,EUW1_5781626867,EUW1_5773701052,EUW1_5773616348,EUW1_5772208434,EUW1_5772204729,EUW1_5770935235,EUW1_5769986244
EUW1_6592464964,EUW1_6592416673,EUW1_6584165280,EUW1_6584132634,EUW1_6583137074,EUW1_6583085925,EUW1_6580690620,EUW1_6580660563,EUW1_6580616938,EUW1_6574207301,EUW1_6574180070,EUW1_6467476022,EUW1_6467435869,EUW1_6458859963,EUW1_6458301934,EUW1_6458249856,EUW1_6450185602,EUW1_6385031693,EUW1_6384984241,EUW1_6384386350,EUW1_6384298872,EUW1_6383528691,EUW1_6383479606,EUW1_6383428974,EUW1_6298802350,EUW1_6298777218,EUW1_6297707899,EUW1_6297696068,EUW1_6297640954,EUW1_6297596112,EUW1_6281619979,EUW1_6281582504,EUW1_6281522781,EUW1_6280343567,EUW1_6280326287,EUW1_6280313566,EUW1_6261887014,EUW1_5943636265,EUW1_5906227301,EUW1_5906233306,EUW1_5902621897,EUW1_5902370511,EUW1_5902259612,EUW1_5898659171,EUW1_5892388777,EUW1_5776314776,EUW1_5453211946,EUW1_5415095698,EUW1_5395355036,EUW1_5394398540
EUW1_6632553587,EUW1_6632527035,EUW1_6632482204,EUW1_6632441063,EUW1_6614587806,EUW1_6614543652,EUW1_6614499428,EUW1_6614455923,EUW1_5640215860,EUW1_5627454408,EUW1_5587759099,EUW1_5587743824,EUW1_5534334512,EUW1_5534304317,EUW1_5534138247,EUW1_5532688154,EUW1_5532724759,EUW1_5532721653,EUW1_5532628865,EUW1_5527903772,EUW1_5527920742,EUW1_5524186381,EUW1_5524202005,EUW1_5461647327,EUW1_5461642795,EUW1_5461581051,EUW1_5461545859,EUW1_5461483390,EUW1_5448358163,EUW1_5448353691,EUW1_5448258857,EUW1_5448273496,EUW1_5442176538,EUW1_5442164875,EUW1_5431411612,EUW1_5431296780,EUW1_5430682406,EUW1_5429845421,EUW1_5429749942,EUW1_5428198809,EUW1_5428196926,EUW1_5428193397,EUW1_5401557810,EUW1_5401515628,EUW1_5401502777,EUW1_5392481136,EUW1_5392379168,EUW1_5389533238,EUW1_5389490324,EUW1_5389468466
EUW1_6611603919,EUW1_6611489879,EUW1_6610410949,EUW1_6610366318,EUW1_6610325972,EUW1_6610260085,EUW1_6595682066,EUW1_6591305947,EUW1_6591159680,EUW1_6573467404,EUW1_6570383470,EUW1_6569196932,EUW1_6569155488,EUW1_6566652411,EUW1_6562667842,EUW1_6562548490,EUW1_6562520944,EUW1_6562484121,EUW1_6561593476,EUW1_6557839430,EUW1_6557811915,EUW1_6490292849,EUW1_6453949536,EUW1_6392776196,EUW1_6392709454,EUW1_6384927845,EUW1_6382264154,EUW1_6382190066,EUW1_6253085734,EUW1_6252827527,EUW1_6221142110,EUW1_6219040171,EUW1_6208404137,EUW1_6208313654,EUW1_6197985237,EUW1_6197420181,EUW1_6181246093,EUW1_6168616380,EUW1_6164591438,EUW1_6142936421,EUW1_6112806253,EUW1_6112804931,EUW1_6112380988,EUW1_6112320657,EUW1_6112349120,EUW1_6112308912,EUW1_6112307533,EUW1_6112385443,EUW1_6112230970,EUW1_6111656030
EUW1_6617438577,EUW1_6617382966,EUW1_6617344668,EUW1_6602159632,EUW1_6601948417,EUW1_6565388181,EUW1_6564221461,EUW1_6379115326,EUW1_6379087589,EUW1_6379059519,EUW1_6378767170,EUW1_6378701109,EUW1_6378637877,EUW1_6377428116,EUW1_6377367380,EUW1_6377290759,EUW1_6376473398,EUW1_6376404589,EUW1_6376288501,EUW1_6375100250,EUW1_6374956406,EUW1_6373698497,EUW1_6373619543,EUW1_6372923864,EUW1_6372876499,EUW1_6279902401,EUW1_6276416986,EUW1_6276256176,EUW1_6276168895,EUW1_6267433407,EUW1_6267367493,EUW1_6266158983,EUW1_6266079283,EUW1_6265822340,EUW1_6265816817,EUW1_6265743962,EUW1_6265662279,EUW1_6264924570,EUW1_6256101953,EUW1_6227498613,EUW1_6207628922,EUW1_5782892191,EUW1_5782470687,EUW1_5781805054,EUW1_5781677375,EUW1_5778917205,EUW1_5778835015,EUW1_5777882753,EUW1_5776211611,EUW1_5776156662
EUW1_6622925930,EUW1_6616249658,EUW1_6616203748,EUW1_6615857093,EUW1_6594095198,EUW1_6583818030,EUW1_6581361558,EUW1_6577388562,EUW1_6576716322,EUW1_6572785965,EUW1_6115651944,EUW1_6108687602,EUW1_6089933048,EUW1_6077835409,EUW1_6022732978,EUW1_5957405005,EUW1_5866742459,EUW1_5766911484,EUW1_5759241256,EUW1_5757521046,EUW1_5755831971,EUW1_5754463547,EUW1_5734365468,EUW1_5730737851,EUW1_5719701534,EUW1_5717876273,EUW1_5716060669,EUW1_5708205614,EUW1_5708058252,EUW1_5707857984,EUW1_5705941450,EUW1_5705903585,EUW1_5703654411,EUW1_5672588791,EUW1_5672114823,EUW1_5665978368,EUW1_5665454598,EUW1_5658205938,EUW1_5657680194,EUW1_5654136332,EUW1_5653481338,EUW1_5645592633,EUW1_5605666231,EUW1_5578655446,EUW1_5575095263,EUW1_5572308016,EUW1_5568169006,EUW1_5567720435,EUW1_5565982848,EUW1_5562888466
